"","LAT","LON"
"694",-73.89537,40.839892
"695",-73.895219,40.840107
"696",-73.895168,40.840526
"697",-73.898372,40.840664
"698",-73.891398,40.840706
"699",-73.896045,40.84071
"700",-73.8919,40.8412
"701",-73.892961,40.841626
"702",-73.894399,40.841693
"703",-73.894281,40.84182
"704",-73.894094,40.842046
"705",-73.897951,40.881477
"706",-73.838292,40.816436
"707",-73.826654,40.821599
"708",-73.82621,40.821068
"709",-73.825839,40.820619
"710",-73.82387,40.818063
"711",-73.82368,40.817732
"712",-73.837449,40.816357
"713",-73.837671,40.815346
"714",-73.833998,40.816412
"715",-73.82456,40.818752
"716",-73.898502,40.81469
"717",-73.984689,40.623001
"718",-73.985265,40.623315
"719",-73.983592,40.623831
"720",-73.984404,40.624244
"721",-73.982884,40.623457
"722",-73.86554,40.87455
"723",-73.865005,40.874779
"724",-73.837825,40.87322
"725",-73.838671,40.872936
"726",-73.839478,40.872676
"727",-73.840586,40.87364
"728",-73.839181,40.874777
"729",-73.918627,40.694837
"730",-73.91851,40.694769
"731",-73.94647,40.68992
"732",-73.89791,40.824255
"733",-73.9227,40.828468
"734",-73.923075,40.828057
"735",-73.922677,40.827831
"736",-73.923008,40.827441
"737",-73.923631,40.827563
"738",-73.924737,40.702978
"739",-73.924087,40.703308
"740",-73.930671,40.603993
"741",-73.93043,40.604137
"742",-73.93076,40.604068
"743",-73.930027,40.605008
"744",-73.928466,40.606029
"745",-73.931063,40.604383
"746",-73.842668,40.840657
"747",-73.842668,40.840657
"748",-73.842602,40.840672
"749",-73.82495,40.846052
"750",-73.896288,40.894246
"751",-73.89622,40.893739
"752",-73.88169,40.844468
"753",-73.881968,40.844141
"754",-73.87845,40.876541
"755",-73.878725,40.876827
"756",-73.878874,40.876855
"757",-73.878542,40.876643
"758",-73.87548,40.878445
"759",-73.876273,40.876788
"760",-73.879322,40.877001
"761",-73.877384,40.876099
"762",-73.878749,40.8762
"763",-73.94406,40.65831
"764",-73.94406,40.65831
"765",-73.94723,40.658
"766",-73.94723,40.658
"767",-73.94716,40.65743
"768",-73.94716,40.65743
"769",-73.824472,40.846314
"770",-73.823952,40.846606
"771",-73.822992,40.8471
"772",-73.82223,40.847596
"773",-73.821071,40.848159
"774",-73.82075,40.848322
"775",-73.82105,40.849233
"776",-73.821055,40.849196
"777",-73.821752,40.850208
"778",-73.821777,40.850232
"779",-73.894553,40.864437
"780",-73.895115,40.864458
"781",-73.894227,40.865167
"782",-73.968489,40.650721
"783",-73.96846,40.65068
"784",-73.968429,40.650738
"785",-73.965843,40.6507
"786",-73.965168,40.660469
"787",-73.965121,40.660842
"788",-73.965252,40.661197
"789",-73.963991,40.657452
"790",-73.963991,40.657452
"791",-73.963991,40.657452
"792",-73.963697,40.657001
"793",-73.963697,40.657001
"794",-73.963697,40.657001
"795",-73.963697,40.657001
"796",-73.8598,40.84459
"797",-73.8598,40.84459
"798",-73.918933,40.685043
"799",-73.91907,40.685032
"800",-73.835951,40.887637
"801",-73.840133,40.888783
"802",-73.838521,40.885284
"803",-73.83497,40.886622
"804",-73.899037,40.86473
"805",-73.899037,40.86473
"806",-73.899037,40.86473
"807",-73.934698,40.674013
"808",-73.935053,40.67404
"809",-73.935166,40.673801
"810",-73.93463,40.67343
"811",-73.934717,40.673866
"812",-73.934785,40.673805
"813",-73.935109,40.673781
"814",-73.935014,40.673755
"815",-73.934892,40.673752
"816",-73.934867,40.673727
"817",-73.934935,40.673695
"818",-73.914138,40.811544
"819",-73.914138,40.811544
"820",-73.914138,40.811544
"821",-73.914138,40.811544
"822",-73.914138,40.811544
"823",-73.914138,40.811544
"824",-73.914138,40.811544
"825",-73.984734,40.576111
"826",-73.9835,40.57585
"827",-73.98567,40.57564
"828",-73.8811,40.8177
"829",-73.783477,40.678334
"830",-73.78942,40.6676
"831",-73.78825,40.68161
"832",-73.78747,40.68053
"833",-73.78745,40.67963
"834",-73.78482,40.68301
"835",-73.9065,40.8631
"836",-73.9227,40.8285
"837",-73.78589,40.68462
"838",-73.78722,40.68495
"839",-73.78711,40.67814
"840",-73.78695,40.67662
"841",-73.78444,40.67934
"842",-73.78468,40.68079
"843",-73.78678,40.67268
"844",-73.78517,40.67318
"845",-73.78254,40.67609
